Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
04/03/2021,89.92564392,11.70101357,26.55999947,13.18878841,345.171936,20.17354202,38.8835907,39.29549026,14.34000015,44.20329666,1368.48584,146.0582733,192.2985992,52.58593369,134.4561157,18.64999962,94.8398819,90.05613708,224.8085938,30.65823555,80.07485199,61.3398056,67.05209351,111.2957077,47.45244217,280.3491211,138.9595642,104.3319626,30.76747131,40.51997757,62.62388229
05/03/2021,90.59228516,12.12922192,26.97999954,13.39858913,340.4011841,20.05336571,39.70682907,38.42827988,14.63000011,44.38993073,1368.098877,151.4628296,197.024292,51.9672699,135.8063049,18.86000061,92.55321503,89.74265289,229.243988,31.37560081,82.1229248,60.62288666,66.40904236,114.7025604,48.99052048,281.3286438,141.7907257,103.1544037,31.05290222,40.11198425,62.00607681
08/03/2021,92.55574036,11.97984695,26.88999939,13.28415203,333.8062134,20.56611633,40.02272415,37.97660446,14.90999985,44.70426559,1373.505249,150.8655396,193.2368622,52.44093704,139.9061127,19.12000084,98.31808472,94.01483917,231.7771149,31.39352989,84.04613495,60.38391495,66.54684448,115.4109116,49.1329422,281.9883423,143.1482697,102.6380844,32.15525436,41.81358719,63.17303848
09/03/2021,92.2361145,12.05951309,27.18000031,13.20786095,332.9269104,20.61418533,40.55878067,38.4915123,14.90999985,44.98913193,1367.741699,150.1141205,191.3689728,52.98225784,141.1774445,19.13999939,99.59721375,94.57907867,231.4999084,31.74324799,83.25521088,61.41628265,66.2069397,114.7109833,51.11723328,287.3058472,139.5400848,102.9732437,31.86982727,40.61948013,63.02594376
10/03/2021,93.85253143,12.26863766,27.73999977,13.30322456,331.1963196,20.13348007,40.92253876,38.57281113,14.60999966,45.07753754,1368.684082,149.5168152,193.9168701,54.55790329,141.3942566,19.31999969,104.65242,94.9552536,232.3697662,31.39352989,82.1229248,61.56922913,67.18989563,114.5423355,51.69639969,285.1968079,138.5933838,104.1960831,32.72612,40.87820816,64.61459351
11/03/2021,91.9256134,12.22880363,28.18000031,13.36044407,331.8511658,20.42991638,41.36287689,38.52764511,15.19999981,45.40169907,1372.324829,150.1237335,193.6758575,53.41725159,142.2615356,19.40999985,103.2068176,95.53741455,231.5955048,31.45630264,82.18953705,63.01263046,67.03372955,112.653389,49.79753876,290.0745544,138.9327698,104.187027,34.8914566,41.65437317,63.31032944
12/03/2021,91.56945038,12.23876286,28.55999947,13.51302528,341.1401672,20.09342384,41.19056702,38.31084061,15.10000038,45.76514435,1378.484985,147.8501587,197.5838165,53.24325943,140.4777069,19.07999992,103.6886902,96.50470734,230.4675446,30.81067657,81.98973083,62.82145309,67.55735779,110.5367661,49.64562607,287.725647,139.0042267,104.5040741,35.13751602,41.53496552,63.92814255
16/03/2021,93.10367584,12.20888805,29.04999924,13.63699722,350.8501587,21.08687782,42.03294754,39.16902161,14.68000031,46.17770386,1388.722534,150.0274048,200.5448914,54.23891068,142.9711151,19.44000053,105.0466766,93.58492279,230.0851746,31.96742249,83.00543976,64.15970612,69.35790253,120.2091522,51.76285172,289.8546448,142.907135,106.8501358,36.89931488,42.85842514,65.0068512
17/03/2021,92.8388443,12.23876286,29.28000069,13.52256107,356.6592712,20.83050346,41.75534439,39.61165619,14.56000042,45.66691589,1388.17688,146.7904358,201.1474457,54.8285675,142.1334076,19.23999977,102.0152969,93.37892914,229.5307465,32.1557312,82.98879242,65.10604858,68.1085434,122.4185333,51.73437119,285.4067383,146.140213,106.4153442,36.98789597,42.79872513,62.26104355
18/03/2021,93.18587494,12.03959656,30.03000069,13.52256107,365.1625366,20.96670151,41.71706009,38.81671524,14.18000031,45.19541168,1388.385254,146.8578796,199.4000397,54.58690643,139.8075562,19.25,101.9977798,92.91320038,229.4351654,32.01225281,82.03968048,64.92441559,67.49304962,122.7811661,51.74386215,283.0878296,144.9255676,105.9262085,37.31269455,42.89823151,62.44736862
