Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,MXN.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
2022-09-05,134.90634155273438,13.0600004196167,37.38999938964844,17.3799991607666,433.30999755859375,44.290000915527344,69.953369140625,36.790000915527344,7.710000038146973,41.349998474121094,1040.52001953125,130.25,272.7537536621094,69.05150604248047,116.77999877929688,33.18000030517578,119.06105041503906,75.39325714111328,220.83999633789062,27.10272979736328,120.73999786376953,90.652587890625,42.7599983215332,,132.66000366210938,38.37242126464844,160.8699951171875,134.13145446777344,86.69999694824219,25.450000762939453,37.2599983215332,69.79422760009766
2022-09-06,135.8489227294922,12.930000305175781,37.45000076293945,17.479999542236328,424.760009765625,43.34000015258789,70.35037231445312,35.4900016784668,7.630000114440918,41.040000915527344,1030.8699951171875,129.0399932861328,268.8811950683594,68.71350860595703,116.94999694824219,32.279998779296875,116.94629669189453,76.74009704589844,224.69000244140625,27.054105758666992,126.3499984741211,93.23274230957031,45.060001373291016,,131.0500030517578,37.96578598022461,165.0800018310547,131.1146697998047,84.13999938964844,25.0,37.4900016784668,69.88335418701172
2022-09-07,135.88819885253906,12.779999732971191,37.61000061035156,17.459999084472656,429.5199890136719,43.720001220703125,71.40245819091797,35.75,7.730000019073486,40.59000015258789,1022.030029296875,131.82000732421875,270.55682373046875,67.52056121826172,116.55000305175781,31.899999618530273,118.61888122558594,75.94784545898438,222.4600067138672,27.384746551513672,124.36000061035156,94.29457092285156,44.15999984741211,,134.16000366210938,37.66824722290039,160.22999572753906,129.74363708496094,84.76000213623047,25.170000076293945,37.560001373291016,70.2398452758789
2022-09-08,136.87986755371094,12.710000038146973,37.04999923706055,17.1200008392334,430.9200134277344,44.04999923706055,71.58111572265625,36.029998779296875,7.670000076293945,40.7599983215332,1029.780029296875,132.1699981689453,269.9982604980469,68.35562896728516,116.87000274658203,32.22999954223633,117.54226684570312,79.21590423583984,216.5,27.209701538085938,125.30999755859375,95.72357940673828,44.189998626708984,,134.92999267578125,38.2930793762207,164.94000244140625,130.2321014404297,84.79000091552734,24.780000686645508,37.83000183105469,72.4283447265625
2022-09-09,138.0286407470703,13.149999618530273,37.65999984741211,17.25,439.8999938964844,45.279998779296875,72.48431396484375,36.439998626708984,7.880000114440918,40.90999984741211,1030.0,131.7100067138672,270.70574951171875,69.3199234008789,119.01000213623047,33.189998626708984,120.14727020263672,83.18709564208984,221.99000549316406,27.559791564941406,124.9000015258789,97.02357482910156,44.20000076293945,,137.11000061035156,38.620365142822266,176.75999450683594,131.5941619873047,84.2300033569336,25.489999771118164,38.09000015258789,73.2997817993164
2022-09-12,138.67666625976562,13.34000015258789,38.75,17.489999771118164,442.239990234375,46.58000183105469,73.14929962158203,37.0099983215332,8.0,41.33000183105469,1027.8399658203125,135.57000732421875,275.7791748046875,74.12151336669922,120.27999877929688,34.16999816894531,122.69459533691406,83.39506530761719,220.75999450683594,28.259967803955078,128.19000244140625,97.97624969482422,44.83000183105469,,140.5,38.957576751708984,218.6300048828125,128.6821746826172,85.4000015258789,26.299999237060547,38.25,74.29004669189453
2022-09-13,136.84059143066406,13.34000015258789,38.560001373291016,17.110000610351562,436.4100036621094,46.220001220703125,72.48431396484375,36.25,7.71999979019165,40.40999984741211,1017.260009765625,132.89999389648438,271.1153564453125,74.10163116455078,116.0,33.619998931884766,120.1953353881836,81.79074096679688,219.77999877929688,27.793184280395508,126.38999938964844,97.14266204833984,43.959999084472656,,137.89999389648438,38.51520538330078,223.17999267578125,129.20819091796875,84.75,25.549999237060547,38.0,73.34929656982422
2022-09-14,136.8504180908203,13.149999618530273,38.709999084472656,17.0,434.75,47.349998474121094,72.1071548461914,35.869998931884766,7.559999942779541,39.97999954223633,1007.1599731445312,133.74000549316406,269.1697692871094,74.45951843261719,115.95999908447266,32.18000030517578,124.41523742675781,77.52245330810547,218.99000549316406,27.559791564941406,126.51000213623047,97.56938171386719,43.97999954223633,,141.16000366210938,37.88788986206055,217.11000061035156,129.1894073486328,85.41000366210938,24.760000228881836,38.54999923706055,72.34912109375
2022-09-15,137.41989135742188,13.15999984741211,38.459999084472656,17.030000686645508,431.5400085449219,48.130001068115234,72.90116882324219,34.599998474121094,7.260000228881836,39.18000030517578,1022.6900024414062,131.88999938964844,266.7401123046875,74.74781036376953,116.52999877929688,32.9900016784668,128.75050354003906,76.2845458984375,216.66000366210938,26.840164184570312,123.81999969482422,96.61670684814453,45.0,,143.74000549316406,37.68873977661133,226.5800018310547,130.2321014404297,84.83999633789062,24.739999771118164,38.540000915527344,72.44815063476562
2022-09-19,136.8602294921875,13.380000114440918,38.709999084472656,16.649999618530273,433.1400146484375,48.880001068115234,72.37512969970703,35.529998779296875,7.360000133514404,40.5099983215332,1049.6700439453125,129.00999450683594,269.95172119140625,75.86122131347656,117.81999969482422,33.52000045776367,133.26840209960938,75.35364532470703,212.33999633789062,27.04438018798828,125.19999694824219,91.88312530517578,44.209999084472656,,143.9499969482422,38.545074462890625,204.22000122070312,132.1483612060547,84.77999877929688,24.389999389648438,39.290000915527344,72.65611267089844
